,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
65219,Jean Grey (Earth-616),/Jean_Grey_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107,Sep-63,1963
6545,Natalia Romanova (Earth-616),/Natalia_Romanova_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050,Apr-64,1964
2223,Kurt Wagner (Earth-616),/Kurt_Wagner_(Earth-616),Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047,May-75,1975
2414,Vision (Earth-616),/Vision_(Earth-616),Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Living Characters,1007,Oct-68,1968
2527,Katherine Pryde (Earth-616) / Shadowcat,/Katherine_Pryde_(Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886,Jan-80,1980
37690,Jennifer Walters (Earth-616),/Jennifer_Walters_(Earth-616),Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,881,Feb-80,1980
1970,Carol Danvers (Earth-616),/Carol_Danvers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881,Mar-68,1968
1970,Carol Danvers (Earth-616) / Captain Marvel,/Carol_Danvers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881,Mar-68,1968
1265,Luke Cage (Earth-616),/Luke_Cage_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856,Jun-72,1972
6537,Joseph Robertson (Earth-616),/Joseph_Robertson_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752,Aug-67,1967
1592,Pietro Maximoff (Earth-616),/Pietro_Maximoff_(Earth-616),Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740,Mar-64,1964
1818,Hercules (Earth-616),/Hercules_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725,Oct-65,1965
1448,Victor von Doom (Earth-616),/Victor_von_Doom_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721,Jul-62,1962
2556,Norrin Radd (Earth-616),/Norrin_Radd_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696,Mar-66,1966
2009,Simon Williams (Earth-616),/Simon_Williams_(Earth-616),Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686,Oct-64,1964
1276,Samuel Guthrie (Earth-616),/Samuel_Guthrie_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657,Nov-82,1982
1680,Remy LeBeau (Earth-616),/Remy_LeBeau_(Earth-616),Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636,Jul-90,1990
32498,Nathan Summers (Earth-616),/Nathan_Summers_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,612,Jan-86,1986
1896,Richard Jones (Earth-616),/Richard_Jones_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590,May-62,1962
1496,Edwin Jarvis (Earth-616),/Edwin_Jarvis_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567,Nov-64,1964
1802,Alexander Summers (Earth-616),/Alexander_Summers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558,Mar-69,1969
1836,Human Torch (Android) (Earth-616),/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548,Oct-39,1939
1643,Franklin Nelson (Earth-616),/Franklin_Nelson_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,528,Apr-64,1964
1285,Brian Braddock (Earth-616),/Brian_Braddock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528,Oct-76,1976
1487,Timothy Dugan (Earth-616),/Timothy_Dugan_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517,May-63,1963
1380,Crystalia Amaquelin (Earth-616),/Crystalia_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512,Dec-65,1965
1613,Samuel Wilson (Earth-616),/Samuel_Wilson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,512,Sep-69,1969
1931,Wilson Fisk (Earth-616),/Wilson_Fisk_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,503,Jul-67,1967
1187,Dane Whitman (Earth-616),/Dane_Whitman_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478,Dec-67,1967
68416,Franklin Richards (Earth-616),/Franklin_Richards_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473,Nov-68,1968
2626,Roberto da Costa (Earth-616),/Roberto_da_Costa_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,464,Nov-82,1982
2007,Rahne Sinclair (Earth-616),/Rahne_Sinclair_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,448,Nov-82,1982
2278,Lorna Dane (Earth-616),/Lorna_Dane_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,433,Oct-68,1968
2183,Marc Spector (Earth-616),/Marc_Spector_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387,Aug-75,1975
1131,Sean Cassidy (Earth-616),/Sean_Cassidy_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374,Jan-67,1967
2239,Richard Rider (Earth-616),/Richard_Rider_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373,Sep-76,1976
1572,Uatu (Earth-616),/Uatu_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373,Apr-63,1963
55878,Raven Darkholme (Earth-616) / Rogue,/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371,Apr-78,1978
2173,Barbara Morse (Earth-616),/Barbara_Morse_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368,Jun-71,1971
1179,Blackagar Boltagon (Earth-616),/Blackagar_Boltagon_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366,Dec-65,1965
2440,Greer Grant (Earth-616),/Greer_Grant_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342,Nov-72,1972
2185,Karla Sofen (Earth-616),/Karla_Sofen_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340,Dec-75,1975
2182,Heather Douglas (Earth-616),/Heather_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323,Jan-73,1973
1633,Angelica Jones (Earth-616),/Angelica_Jones_(Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319,May-85,1985
2010,Wong (Earth-616),/Wong_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306,Jul-63,1963
5708,Robert Baldwin (Earth-616),/Robert_Baldwin_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,293,Sep-88,1988
6633,Wendell Vaughn (Earth-616),/Wendell_Vaughn_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,290,Jan-78,1978
1902,Vance Astrovik (Earth-616),/Vance_Astrovik_(Earth-616),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,290,Jul-75,1975
4565,Abner Jenkins (Earth-616),/Abner_Jenkins_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,284,Aug-64,1964
119507,Forge (Earth-616),/Forge_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,276,Aug-84,1984
1733,Gorgon (Earth-616),/Gorgon_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,272,Nov-65,1965
2582,Melissa Gold (Earth-616),/Melissa_Gold_(Earth-616),Secret Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,,Living Characters,260,Aug-79,1979
2060,Moira Kinross (Earth-616),/Moira_Kinross_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,259,Dec-75,1975
2204,Namorita Prentiss (Earth-616),/Namorita_Prentiss_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,257,Jun-72,1972
1915,Karnak (Earth-616),/Karnak_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,257,Dec-65,1965
2523,Sersi (Earth-616),/Sersi_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,236,Sep-76,1976
1356,Valerie Cooper (Earth-616),/Valerie_Cooper_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,225,Dec-83,1983
2470,Eric Masterson (Earth-616),/Eric_Masterson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,198,May-88,1988
1450,Anthony Druid (Earth-616),/Anthony_Druid_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Deceased Characters,153,Jun-61,1961
2466,John Proudstar (Earth-616),/John_Proudstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,66,May-75,1975
164739,Punisher (Cyborg) (Earth-616),/Punisher_(Cyborg)_(Earth-616),,Bad Characters,,,,,Deceased Characters,13,Apr-66,1966
2384,Sasquatch (Beast) (Earth-616),/Sasquatch_(Beast)_(Earth-616),Secret Identity,,,,Male Characters,,Deceased Characters,13,Aug-97,1997
345678,Lady Elizabeth Braddock (Earth-616),/Lady_Elizabeth_Braddock_(Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,12,Jan-77,1977
298119,Matthew Murdock (Hellspawn) (Earth-616) / DareDevil,/Matthew_Murdock_(Hellspawn)_(Earth-616),,Bad Characters,Black Eyes,,Male Characters,,Deceased Characters,10,Jun-92,1992
213765,Max Eisenhardt (Machinesmith Robot) (Earth-616) / Magneto/Magnus,/Max_Eisenhardt_(Machinesmith_Robot)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,7,Nov-68,1968
587245,Iceman (Lobe) (Earth-616),/Iceman_(Lobe)_(Earth-616),Secret Identity,Neutral Characters,,Blond Hair,Male Characters,,Living Characters,5,Jan-11,2011
57972,Eros (Olympian) (Earth-616),/Eros_(Olympian)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,5,Sep-87,1987
184448,Medusalith Amaquelin (Heroes Reborn) (Earth-616),/Medusalith_Amaquelin_(Heroes_Reborn)_(Earth-616),,Good Characters,,,Female Characters,,Living Characters,5,Jun-97,1997
183016,Alicia Masters (Heroes Reborn) (Earth-616),/Alicia_Masters_(Heroes_Reborn)_(Earth-616),,Good Characters,,Red Hair,Female Characters,,Living Characters,5,Jan-97,1997
639805,Iron Man (Sentient Armor) (Earth-616),/Iron_Man_(Sentient_Armor)_(Earth-616),Public Identity,Neutral Characters,White Eyes,No Hair,Agender Characters,,Deceased Characters,4,Mar-00,2000
329230,Jubilee (Darla) (Earth-616),/Jubilee_(Darla)_(Earth-616),,Good Characters,,,Female Characters,,Living Characters,4,Dec-85,1985
78920,Super-Patriot (Earth-616),/Super-Patriot_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,2,Jul-69,1969
692191,Henry Pym (Onslaught Reborn) (Earth-616) / Ant Man,/Henry_Pym_(Onslaught_Reborn)_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,2,Mar-07,2007
64900,Daniel Rand (Dragonfist) (Earth-616),/Daniel_Rand_(Dragonfist)_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,May-98,1998
503420,Aunt May (Earth-616),/Aunt_May_(Earth-616),,,Blue Eyes,White Hair,Female Characters,,Living Characters,1,Jun-62,1962
98868,Boomer (Reject) (Earth-616),/Boomer_(Reject)_(Earth-616),Public Identity,Good Characters,,No Hair,Male Characters,,Living Characters,1,Dec-89,1989
1190,T'Challa (Earth-616) / Black Panther,/T%27Challa_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,,Jul-66,1966
